fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,sentiment,num_tweets
416,30.8729,-113.02,0.86,4.63,2015-12-25,2015-12-31,7,0.61,0.12,
418,30.8688,-112.738,1.71,6.48,2016-01-09,2016-01-10,2,1.11,0.86,
420,30.8563,-113.02,4.5,14.82,2016-01-01,2016-01-09,9,0.78,0.5,
422,30.8521,-112.801,1.07,6.48,2016-01-05,2016-01-09,5,0.5,0.21,
424,30.8438,-113.054,1.29,5.56,2016-01-09,2016-01-12,4,1.0,0.32,
426,30.8396,-112.753,0.21,1.85,2015-12-26,2015-12-26,1,0.46,0.21,
428,30.8313,-112.626,0.86,3.7,2016-01-10,2016-01-15,6,0.45,0.14,
430,30.8063,-112.655,2.57,8.33,2016-01-12,2016-01-19,8,0.85,0.32,
432,30.7938,-107.95,1.71,7.41,2015-12-14,2015-12-20,7,0.73,0.24,
434,30.7938,-112.485,1.93,7.41,2015-12-27,2016-01-03,8,0.64,0.24,
436,30.7729,-112.485,0.21,1.85,2016-01-01,2016-01-01,1,0.46,0.21,
438,30.7688,-112.437,0.21,1.85,2016-01-02,2016-01-02,1,0.46,0.21,
440,30.7896,-112.432,2.36,7.41,2016-01-09,2016-01-20,12,0.84,0.2,
442,30.7729,-112.437,0.21,1.85,2016-01-09,2016-01-09,1,0.46,0.21,
444,30.7729,-112.427,0.64,4.63,2016-01-17,2016-01-18,2,0.77,0.32,
446,30.7729,-112.48,1.29,5.56,2016-01-18,2016-01-18,1,1.05,1.29,
448,30.7854,-107.931,0.43,2.78,2015-12-14,2015-12-14,1,0.64,0.43,
450,30.7646,-112.951,1.71,7.41,2016-01-09,2016-01-13,5,0.76,0.34,
452,30.7688,-112.931,0.86,4.63,2016-01-05,2016-01-09,5,0.51,0.17,
454,30.7604,-107.937,0.43,2.78,2015-12-14,2015-12-14,1,0.46,0.43,
456,30.7396,-107.928,0.21,1.85,2015-12-09,2015-12-09,1,0.46,0.21,
458,30.7479,-107.947,0.21,1.85,2015-12-06,2015-12-06,1,0.46,0.21,
460,30.7188,-112.466,4.07,11.11,2016-01-01,2016-01-18,18,1.42,0.23,
462,30.7229,-113.033,0.43,2.78,2016-01-02,2016-01-05,4,0.31,0.11,
464,30.7188,-113.028,0.43,2.78,2016-01-11,2016-01-11,1,0.46,0.43,
466,30.7229,-112.422,2.14,7.41,2016-01-02,2016-01-09,8,0.77,0.27,
468,30.7271,-107.895,1.29,5.56,2015-12-09,2015-12-24,16,0.52,0.08,
470,30.6979,-112.345,0.21,1.85,2015-12-17,2015-12-17,1,0.46,0.21,
472,30.6979,-112.422,2.14,8.33,2015-12-27,2016-01-05,10,0.73,0.21,
474,30.6938,-107.892,0.21,1.85,2016-06-23,2016-06-23,1,0.46,0.21,
476,30.6479,-112.209,2.79,10.19,2016-01-09,2016-01-17,9,1.12,0.31,
478,30.6146,-112.94,0.86,4.63,2016-01-10,2016-01-20,11,0.71,0.08,
480,30.6021,-108.196,1.5,5.56,2016-02-10,2016-02-14,5,0.62,0.3,
482,30.5604,-108.149,1.5,6.48,2015-12-14,2015-12-16,3,0.94,0.5,
484,30.5479,-108.169,1.71,7.41,2016-01-10,2016-01-17,8,0.72,0.21,
486,30.5146,-112.359,1.71,6.48,2016-01-06,2016-01-16,11,0.64,0.16,
488,30.5188,-112.345,3.22,12.96,2016-01-07,2016-01-19,13,1.49,0.25,
490,30.5104,-112.277,0.21,1.85,2016-01-15,2016-01-15,1,0.46,0.21,
492,30.5104,-109.487,7.07,13.89,2016-06-18,2016-06-27,10,1.5,0.71,
494,30.4771,-112.181,1.29,5.56,2016-01-20,2016-01-25,6,0.64,0.21,
496,30.4438,-115.153,1.29,5.56,2016-06-04,2016-06-05,2,0.75,0.64,
498,30.3479,-106.528,1.07,5.56,2016-01-10,2016-01-14,5,0.66,0.21,
500,30.2188,-110.062,2.79,10.19,2016-06-13,2016-06-23,11,0.88,0.25,
502,30.1729,-106.43,0.43,2.78,2016-01-13,2016-01-13,1,0.63,0.43,
504,30.0854,-105.936,2.57,12.96,2015-12-02,2015-12-03,2,1.51,1.29,
506,30.0438,-107.258,1.07,6.48,2016-01-03,2016-01-06,4,0.73,0.27,
508,29.9813,-107.278,0.64,4.63,2016-01-28,2016-01-29,2,0.77,0.32,
510,29.9479,-107.458,1.93,9.26,2016-01-15,2016-01-18,4,0.97,0.48,
512,29.9146,-107.542,1.29,5.56,2016-01-18,2016-01-20,3,0.74,0.43,
514,29.8438,-108.989,2.36,8.33,2016-06-06,2016-06-07,2,1.13,1.18,
516,29.7854,-107.528,4.93,14.82,2016-05-29,2016-06-13,16,1.02,0.31,
518,29.6479,-112.352,0.64,3.7,2016-02-03,2016-02-03,1,0.52,0.64,
520,29.5063,-110.926,1.07,5.56,2016-05-15,2016-05-16,2,0.53,0.54,
522,29.4896,-107.974,0.43,3.7,2016-01-16,2016-01-19,4,0.31,0.11,
524,29.4688,-106.051,0.43,3.7,2016-07-07,2016-07-07,1,0.47,0.43,
526,29.3396,-107.762,1.71,6.48,2016-02-19,2016-02-19,1,1.09,1.71,
528,29.2688,-107.023,0.86,4.63,2016-02-13,2016-02-15,3,0.78,0.29,
