fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,location,state,state_short,sentiment,magnitude,num_tweets
6486,46.3313,-116.243,0.43,2.78,2016-08-23,2016-08-24,2,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0.0,0.0,1
6488,46.3229,-116.599,0.21,1.85,2016-09-26,2016-09-26,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6490,46.3188,-118.201,1.93,10.19,2016-03-26,2016-04-07,13,0.92,0.15,"Columbia County, WA, USA",Washington,WA,-0.10000000149011612,3.0999999046325684,13
6492,46.3188,-116.319,0.21,1.85,2016-09-20,2016-09-20,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6494,46.3104,-120.3,0.21,1.85,2016-08-14,2016-08-14,1,0.46,0.21,"Yakima County, WA, USA",Washington,WA,-0.6000000238418579,0.6000000238418579,1
6496,46.2813,-116.414,31.51,71.3,2016-03-17,2016-04-07,22,3.17,1.43,"Lewis County, ID, USA",Idaho,ID,0.0,0.0,1
6498,46.2438,-116.395,0.43,3.7,2016-03-18,2016-03-19,2,0.51,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6500,46.2313,-116.41,0.21,1.85,2016-03-31,2016-03-31,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6502,46.2313,-116.416,0.21,1.85,2016-09-11,2016-09-11,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6504,46.3063,-115.84,0.64,3.7,2016-10-02,2016-10-04,3,0.61,0.21,"Clearwater County, ID, USA",Idaho,ID,0,0,0
6506,46.2979,-116.305,0.21,1.85,2016-09-08,2016-09-08,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6508,46.2896,-120.327,1.71,8.33,2016-08-22,2016-08-23,2,1.41,0.86,"Yakima County, WA, USA",Washington,WA,-0.20000000298023224,5.199999809265137,22
6510,46.2813,-120.279,0.43,2.78,2016-08-22,2016-08-22,1,0.46,0.43,"Yakima County, WA, USA",Washington,WA,-0.20000000298023224,5.199999809265137,22
6512,46.2771,-117.888,0.21,1.85,2016-09-04,2016-09-04,1,0.46,0.21,"Columbia County, WA, USA",Washington,WA,0,0,0
6514,46.2729,-117.94,0.43,2.78,2016-04-07,2016-04-07,1,0.46,0.43,"Columbia County, WA, USA",Washington,WA,-0.10000000149011612,3.0999999046325684,13
6516,46.2688,-116.315,0.43,2.78,2016-03-30,2016-04-01,3,0.62,0.14,"Lewis County, ID, USA",Idaho,ID,0,0,0
6518,46.2688,-116.508,0.21,1.85,2016-11-03,2016-11-03,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6520,46.2563,-116.204,1.07,7.41,2016-08-29,2016-09-01,4,0.68,0.27,"Lewis County, ID, USA",Idaho,ID,-0.10000000149011612,2.0,7
6522,46.2521,-116.19,0.43,2.78,2016-09-09,2016-09-11,3,0.35,0.14,"Lewis County, ID, USA",Idaho,ID,0,0,0
6524,46.2646,-116.174,2.36,8.33,2016-09-21,2016-09-27,7,0.99,0.34,"Lewis County, ID, USA",Idaho,ID,0,0,0
6526,46.2563,-116.506,3.22,12.96,2016-10-21,2016-11-05,16,1.14,0.2,"Lewis County, ID, USA",Idaho,ID,0.0,0.0,1
6528,46.2479,-119.513,4.07,10.19,2016-07-15,2016-07-17,3,1.15,1.36,"Benton County, WA, USA",Washington,WA,0,0,0
6530,46.2521,-118.094,0.43,2.78,2016-07-30,2016-07-31,2,0.46,0.21,"Columbia County, WA, USA",Washington,WA,0.0,7.900000095367432,36
6532,46.2521,-116.129,0.21,1.85,2016-09-28,2016-09-28,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6534,46.2188,-118.275,5.36,15.74,2016-09-05,2016-09-22,18,0.99,0.3,"Walla Walla County, WA, USA",Washington,WA,-0.10000000149011612,0.699999988079071,4
6536,46.2229,-118.296,0.43,2.78,2016-09-09,2016-09-12,4,0.55,0.11,"Walla Walla County, WA, USA",Washington,WA,-0.10000000149011612,0.699999988079071,4
6538,46.2438,-118.202,0.21,1.85,2016-09-05,2016-09-05,1,0.46,0.21,"Walla Walla County, WA, USA",Washington,WA,-0.10000000149011612,0.5,3
6540,46.2396,-118.205,0.64,3.7,2016-09-12,2016-09-22,11,0.48,0.06,"Walla Walla County, WA, USA",Washington,WA,-0.10000000149011612,0.10000000149011612,1
6542,46.2479,-116.271,0.21,1.85,2016-09-06,2016-09-06,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,-0.699999988079071,0.699999988079071,1
6544,46.2438,-116.19,0.21,1.85,2016-09-20,2016-09-20,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6546,46.2313,-118.025,3.22,11.11,2016-09-15,2016-09-25,11,1.58,0.29,"Columbia County, WA, USA",Washington,WA,0,0,0
6548,46.2354,-116.281,0.43,2.78,2016-09-20,2016-09-20,1,0.46,0.43,"Lewis County, ID, USA",Idaho,ID,0,0,0
6550,46.2313,-116.169,0.21,1.85,2016-03-30,2016-03-30,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6552,46.2354,-116.142,0.21,1.85,2016-04-27,2016-04-27,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6554,46.2271,-118.196,6.22,15.74,2016-09-11,2016-09-16,6,1.38,1.04,"Walla Walla County, WA, USA",Washington,WA,-0.10000000149011612,0.699999988079071,4
6556,46.2271,-118.058,1.93,6.48,2016-09-22,2016-09-27,6,0.75,0.32,"Columbia County, WA, USA",Washington,WA,-0.30000001192092896,0.30000001192092896,1
6558,46.2313,-116.35,0.21,1.85,2016-03-27,2016-03-27,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6560,46.2313,-116.284,0.21,1.85,2016-09-20,2016-09-20,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6562,46.2021,-116.216,0.21,1.85,2016-08-24,2016-08-24,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0.0,0.0,1
6564,46.2188,-116.179,0.21,1.85,2016-08-07,2016-08-07,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0.0,1.0,8
6566,46.2021,-118.335,1.07,6.48,2016-09-13,2016-09-22,10,0.68,0.11,"Walla Walla County, WA, USA",Washington,WA,-0.10000000149011612,0.10000000149011612,1
6568,46.2021,-116.409,1.07,5.56,2016-08-13,2016-08-15,3,1.05,0.36,"Lewis County, ID, USA",Idaho,ID,0,0,0
6570,46.1979,-118.043,0.21,1.85,2016-09-07,2016-09-07,1,0.46,0.21,"Walla Walla County, WA, USA",Washington,WA,-0.10000000149011612,0.5,3
6572,46.1896,-121.553,0.21,1.85,2016-07-10,2016-07-10,1,0.46,0.21,"Skamania County, WA, USA",Washington,WA,-0.20000000298023224,0.5,2
6574,46.1854,-116.404,2.14,11.11,2016-03-26,2016-03-31,6,1.3,0.36,"Idaho County, ID, USA",Idaho,ID,0,0,0
6576,46.1854,-119.804,0.86,3.7,2016-08-01,2016-08-02,2,0.57,0.43,"Benton County, WA, USA",Washington,WA,0.0,8.899999618530273,46
6578,46.1771,-116.434,1.71,8.33,2016-09-20,2016-09-27,8,1.27,0.21,"Idaho County, ID, USA",Idaho,ID,0,0,0
6580,46.1813,-118.176,1.5,8.33,2016-09-13,2016-09-15,3,1.52,0.5,"Walla Walla County, WA, USA",Washington,WA,-0.10000000149011612,0.10000000149011612,1
6582,46.1646,-118.176,0.21,1.85,2016-09-18,2016-09-18,1,0.46,0.21,"Walla Walla County, WA, USA",Washington,WA,0,0,0
6584,46.1813,-118.086,0.86,4.63,2016-10-09,2016-10-11,3,0.7,0.29,"Walla Walla County, WA, USA",Washington,WA,-0.10000000149011612,0.20000000298023224,2
6586,46.1688,-116.392,0.64,4.63,2016-03-30,2016-04-02,4,0.48,0.16,"Idaho County, ID, USA",Idaho,ID,0,0,0
6588,46.1604,-116.405,0.43,3.7,2016-03-30,2016-03-30,1,1.23,0.43,"Idaho County, ID, USA",Idaho,ID,0,0,0
6590,46.1396,-118.105,0.21,1.85,2016-10-02,2016-10-02,1,0.46,0.21,"Walla Walla County, WA, USA",Washington,WA,-0.30000001192092896,0.30000001192092896,1
6592,46.1354,-116.166,0.64,3.7,2016-03-25,2016-03-30,6,0.7,0.11,"Idaho County, ID, USA",Idaho,ID,0,0,0
6594,46.1271,-116.13,0.21,1.85,2016-03-30,2016-03-30,1,0.46,0.21,"Idaho County, ID, USA",Idaho,ID,0,0,0
6596,46.1229,-116.145,0.43,2.78,2016-03-26,2016-04-03,9,0.26,0.05,"Idaho County, ID, USA",Idaho,ID,0.0,0.0,1
